 Sample   Time     Commanded Pos   Encoder 1 Pos   Control Effort

[    0    0.000            2000              -6         -0.1526;
     1    0.014            2000              -6          0.2595;
     2    0.028            2000               3          0.3010;
     3    0.043            2000              23          0.3388;
     4    0.057            2000              49          0.3748;
     5    0.071            2000              81          0.4096;
     6    0.085            2000             120          0.4426;
     7    0.099            2000             163          0.4731;
     8    0.113            2000             210          0.5024;
     9    0.128            2000             263          0.5293;
    10    0.142            2000             318          0.5549;
    11    0.156            2000             378          0.5781;
    12    0.170            2000             441          0.6001;
    13    0.184            2000             506          0.6197;
    14    0.198            2000             571          0.6374;
    15    0.213            2000             634          0.6545;
    16    0.227            2000             695          0.6709;
    17    0.241            2000             752          0.6862;
    18    0.255            2000             807          0.7009;
    19    0.269            2000             858          0.7149;
    20    0.283            2000             903          0.7289;
    21    0.298            2000             942          0.7436;
    22    0.312            2000             973          0.7582;
    23    0.326            2000             996          0.7741;
    24    0.340            2000            1011          0.7912;
    25    0.354            2000            1020          0.8089;
    26    0.368            2000            1022          0.8284;
    27    0.383            2000            1022          0.8486;
    28    0.397            2000            1022          0.8687;
    29    0.411            2000            1022          0.8889;
    30    0.425            2000            1022          0.9090;
    31    0.439            2000            1022          0.9292;
    32    0.453            2000            1022          0.9493;
    33    0.468            2000            1023          0.9695;
    34    0.482            2000            1026          0.9890;
    35    0.496            2000            1029          1.0085;
    36    0.510            2000            1035          1.0275;
    37    0.524            2000            1043          1.0464;
    38    0.538            2000            1054          1.0641;
    39    0.553            2000            1069          1.0812;
    40    0.567            2000            1088          1.0971;
    41    0.581            2000            1113          1.1117;
    42    0.595            2000            1142          1.1245;
    43    0.609            2000            1176          1.1368;
    44    0.623            2000            1214          1.1465;
    45    0.638            2000            1255          1.1551;
    46    0.652            2000            1298          1.1618;
    47    0.666            2000            1340          1.1679;
    48    0.680            2000            1381          1.1734;
    49    0.694            2000            1420          1.1789;
    50    0.708            2000            1455          1.1832;
    51    0.723            2000            1485          1.1880;
    52    0.737            2000            1510          1.1935;
    53    0.751            2000            1528          1.1990;
    54    0.765            2000            1541          1.2057;
    55    0.779            2000            1548          1.2137;
    56    0.793            2000            1551          1.2216;
    57    0.808            2000            1551          1.2308;
    58    0.822            2000            1551          1.2399;
    59    0.836            2000            1551          1.2491;
    60    0.850            2000            1551          1.2582;
    61    0.864            2000            1551          1.2680;
    62    0.878            2000            1551          1.2772;
    63    0.893            2000            1551          1.2863;
    64    0.907            2000            1551          1.2955;
    65    0.921            2000            1551          1.3046;
    66    0.935            2000            1551          1.3138;
    67    0.949            2000            1552          1.3230;
    68    0.963            2000            1554          1.3321;
    69    0.978            2000            1555          1.3407;
    70    0.992            2000            1558          1.3498;
    71    1.006            2000            1560          1.3584;
    72    1.020            2000            1563          1.3669;
    73    1.034            2000            1567          1.3755;
    74    1.048            2000            1572          1.3834;
    75    1.063            2000            1579          1.3913;
    76    1.077            2000            1588          1.3980;
    77    1.091            2000            1599          1.4048;
    78    1.105            2000            1613          1.4109;
    79    1.119            2000            1628          1.4158;
    80    1.133            2000            1643          1.4206;
    81    1.148            2000            1658          1.4249;
    82    1.162            2000            1672          1.4292;
    83    1.176            2000            1688          1.4328;
    84    1.190            2000            1703          1.4365;
    85    1.204            2000            1717          1.4396;
