 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Encoder 3 Pos 

[    0    0.000            2000               1               0               0;
     1    0.025            2000               6               0               0;
     2    0.050            2000              22               0               0;
     3    0.074            2000              46               0               0;
     4    0.099            2000              74               0               0;
     5    0.124            2000             107               0               0;
     6    0.149            2000             144               0               0;
     7    0.174            2000             187               0               0;
     8    0.198            2000             237               0               0;
     9    0.223            2000             297               0               0;
    10    0.248            2000             368               0               0;
    11    0.273            2000             443               0               0;
    12    0.298            2000             512               0               0;
    13    0.322            2000             569               0               0;
    14    0.347            2000             612               0               0;
    15    0.372            2000             642               0               0;
    16    0.397            2000             661               0               0;
    17    0.421            2000             669               0               0;
    18    0.446            2000             670               0               0;
    19    0.471            2000             671               0               0;
    20    0.496            2000             673               0               0;
    21    0.521            2000             678               0               0;
    22    0.545            2000             688               0               0;
    23    0.570            2000             711               0               0;
    24    0.595            2000             749               0               0;
    25    0.620            2000             802               0               0;
    26    0.645            2000             864               0               0;
    27    0.669            2000             928               0               0;
    28    0.694            2000             989               0               0;
    29    0.719            2000            1044               0               0;
    30    0.744            2000            1092               0               0;
    31    0.769            2000            1129               0               0;
    32    0.793            2000            1156               0               0;
    33    0.818            2000            1177               0               0;
    34    0.843            2000            1190               0               0;
    35    0.868            2000            1196               0               0;
    36    0.893            2000            1197               0               0;
    37    0.917            2000            1198               0               0;
    38    0.942            2000            1199               0               0;
    39    0.967            2000            1202               0               0;
    40    0.992            2000            1210               0               0;
    41    1.016            2000            1221               0               0;
    42    1.041            2000            1238               0               0;
    43    1.066            2000            1255               0               0;
    44    1.091            2000            1273               0               0;
    45    1.116            2000            1292               0               0;
    46    1.140            2000            1312               0               0;
    47    1.165            2000            1331               0               0;
    48    1.190            2000            1348               0               0;
    49    1.215            2000            1360               0               0;
    50    1.240            2000            1367               0               0;
    51    1.264            2000            1369               0               0;
    52    1.289            2000            1369               0               0;
    53    1.314            2000            1370               0               0;
    54    1.339            2000            1373               0               0;
    55    1.364            2000            1377               0               0;
    56    1.388            2000            1385               0               0;
    57    1.413            2000            1398               0               0;
    58    1.438            2000            1419               0               0;
    59    1.463            2000            1447               0               0;
    60    1.488            2000            1481               0               0;
    61    1.512            2000            1519               0               0;
    62    1.537            2000            1558               0               0;
    63    1.562            2000            1595               0               0;
