 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Encoder 3 Pos 

[    0    0.000            2000               0               0               0;
     1    0.012            2000              11               0               0;
     2    0.025            2000              83               0               0;
     3    0.037            2000             207               0               0;
     4    0.050            2000             384               0               0;
     5    0.062            2000             611               0               0;
     6    0.074            2000             886               1               0;
     7    0.087            2000            1194               1               0;
     8    0.099            2000            1536               1               0;
     9    0.112            2000            1899               1               0;
    10    0.124            2000            2270               2               0;
    11    0.136            2000            2637               2               0;
    12    0.149            2000            2986               2               0;
    13    0.161            2000            3311               2               0;
    14    0.174            2000            3601               3               0;
    15    0.186            2000            3854               3               0;
    16    0.198            2000            4060               3               0;
    17    0.211            2000            4214               3               0;
    18    0.223            2000            4309               3               0;
    19    0.236            2000            4345               3               0;
    20    0.248            2000            4330               3               0;
    21    0.260            2000            4278               3               0;
    22    0.273            2000            4194               3               0;
    23    0.285            2000            4080               3               0;
    24    0.298            2000            3943               3               0;
    25    0.310            2000            3785               3               0;
    26    0.322            2000            3609               3               0;
    27    0.335            2000            3418               3               0;
    28    0.347            2000            3216               3               0;
    29    0.359            2000            3005               3               0;
    30    0.372            2000            2787               3               0;
    31    0.384            2000            2567               3               0;
    32    0.397            2000            2349               3               0;
    33    0.409            2000            2134               2               0;
    34    0.421            2000            1929               2               0;
    35    0.434            2000            1755               2               0;
    36    0.446            2000            1614               2               0;
    37    0.459            2000            1511               2               0;
    38    0.471            2000            1450               2               0;
    39    0.483            2000            1429               2               0;
    40    0.496            2000            1439               2               0;
    41    0.508            2000            1484               2               0;
    42    0.521            2000            1556               2               0;
    43    0.533            2000            1653               2               0;
    44    0.545            2000            1772               2               0;
    45    0.558            2000            1908               2               0;
    46    0.570            2000            2055               2               0;
    47    0.583            2000            2207               2               0;
    48    0.595            2000            2358               2               0;
    49    0.607            2000            2506               2               0;
    50    0.620            2000            2641               2               0;
    51    0.632            2000            2758               2               0;
    52    0.645            2000            2856               2               0;
    53    0.657            2000            2933               2               0;
    54    0.669            2000            2985               2               0;
    55    0.682            2000            3012               2               0;
    56    0.694            2000            3016               2               0;
    57    0.707            2000            3002               2               0;
    58    0.719            2000            2975               2               0;
    59    0.731            2000            2937               2               0;
    60    0.744            2000            2892               2               0;
    61    0.756            2000            2842               2               0;
    62    0.769            2000            2786               2               0;
    63    0.781            2000            2727               2               0;
    64    0.793            2000            2666               2               0;
    65    0.806            2000            2603               2               0;
    66    0.818            2000            2535               2               0;
    67    0.831            2000            2467               2               0;
    68    0.843            2000            2398               2               0;
    69    0.855            2000            2330               2               0;
    70    0.868            2000            2264               2               0;
    71    0.880            2000            2200               2               0;
    72    0.893            2000            2138               2               0;
    73    0.905            2000            2081               2               0;
    74    0.917            2000            2043               2               0;
    75    0.930            2000            2027               2               0;
    76    0.942            2000            2028               2               0;
    77    0.954            2000            2047               2               0;
    78    0.967            2000            2078               2               0;
    79    0.979            2000            2116               2               0;
    80    0.992            2000            2158               2               0;
    81    1.004            2000            2204               2               0;
    82    1.016            2000            2251               2               0;
    83    1.029            2000            2297               2               0;
    84    1.041            2000            2341               2               0;
    85    1.054            2000            2382               2               0;
    86    1.066            2000            2416               2               0;
    87    1.078            2000            2444               2               0;
    88    1.091            2000            2465               2               0;
    89    1.103            2000            2479               2               0;
    90    1.116            2000            2484               2               0;
    91    1.128            2000            2484               2               0;
    92    1.140            2000            2484               2               0;
    93    1.153            2000            2481               2               0;
    94    1.165            2000            2480               2               0;
    95    1.178            2000            2480               2               0;
    96    1.190            2000            2480               2               0;
    97    1.202            2000            2480               2               0;
    98    1.215            2000            2480               2               0;
    99    1.227            2000            2480               2               0;
   100    1.240            2000            2480               2               0;
   101    1.252            2000            2480               2               0;
   102    1.264            2000            2480               2               0;
   103    1.277            2000            2480               2               0;
   104    1.289            2000            2480               2               0;
   105    1.302            2000            2480               2               0;
