 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Encoder 3 Pos 

[    0    0.000            2000               0               0               0;
     1    0.012            2000              21               0               0;
     2    0.025            2000             107               0               0;
     3    0.037            2000             241               0               0;
     4    0.050            2000             419               0               0;
     5    0.062            2000             634               0               0;
     6    0.074            2000             870               1               0;
     7    0.087            2000            1112               1               0;
     8    0.099            2000            1349               1               0;
     9    0.112            2000            1564               1               0;
    10    0.124            2000            1745               1               0;
    11    0.136            2000            1881               1               0;
    12    0.149            2000            1962               2               0;
    13    0.161            2000            1986               2               0;
    14    0.174            2000            1957               2               0;
    15    0.186            2000            1881               2               0;
    16    0.198            2000            1769               2               0;
    17    0.211            2000            1625               2               0;
    18    0.223            2000            1458               2               0;
    19    0.236            2000            1279               1               0;
    20    0.248            2000            1098               1               0;
    21    0.260            2000             928               1               0;
    22    0.273            2000             777               1               0;
    23    0.285            2000             656               1               0;
    24    0.298            2000             572               1               0;
    25    0.310            2000             527               1               0;
    26    0.322            2000             523               1               0;
    27    0.335            2000             551               1               0;
    28    0.347            2000             612               1               0;
    29    0.359            2000             700               1               0;
    30    0.372            2000             809               1               0;
    31    0.384            2000             931               1               0;
    32    0.397            2000            1060               1               0;
    33    0.409            2000            1187               1               0;
    34    0.421            2000            1305               1               0;
    35    0.434            2000            1406               1               0;
    36    0.446            2000            1480               1               0;
    37    0.459            2000            1527               1               0;
    38    0.471            2000            1543               1               0;
    39    0.483            2000            1536               1               0;
    40    0.496            2000            1503               1               0;
    41    0.508            2000            1454               1               0;
    42    0.521            2000            1393               1               0;
    43    0.533            2000            1323               1               0;
    44    0.545            2000            1248               1               0;
    45    0.558            2000            1173               1               0;
    46    0.570            2000            1103               1               0;
    47    0.583            2000            1042               1               0;
    48    0.595            2000             994               1               0;
    49    0.607            2000             963               1               0;
    50    0.620            2000             950               1               0;
    51    0.632            2000             952               1               0;
    52    0.645            2000             962               1               0;
    53    0.657            2000             984               1               0;
    54    0.669            2000            1010               1               0;
    55    0.682            2000            1037               1               0;
    56    0.694            2000            1066               1               0;
    57    0.707            2000            1093               1               0;
    58    0.719            2000            1116               1               0;
    59    0.731            2000            1135               1               0;
    60    0.744            2000            1146               1               0;
    61    0.756            2000            1151               1               0;
    62    0.769            2000            1150               1               0;
    63    0.781            2000            1150               1               0;
    64    0.793            2000            1150               1               0;
    65    0.806            2000            1150               1               0;
    66    0.818            2000            1150               1               0;
    67    0.831            2000            1150               1               0;
    68    0.843            2000            1150               1               0;
    69    0.855            2000            1150               1               0;
    70    0.868            2000            1150               1               0;
    71    0.880            2000            1150               1               0;
    72    0.893            2000            1150               1               0;
    73    0.905            2000            1150               1               0;
    74    0.917            2000            1150               1               0;
    75    0.930            2000            1150               1               0;
    76    0.942            2000            1150               1               0;
    77    0.954            2000            1150               1               0;
    78    0.967            2000            1150               1               0;
    79    0.979            2000            1150               1               0;
    80    0.992            2000            1150               1               0;
    81    1.004            2000            1150               1               0;
    82    1.016            2000            1150               1               0;
    83    1.029            2000            1150               1               0;
    84    1.041            2000            1150               1               0;
    85    1.054            2000            1150               1               0;
    86    1.066            2000            1150               1               0;
    87    1.078            2000            1150               1               0;
    88    1.091            2000            1150               1               0;
    89    1.103            2000            1150               1               0;
    90    1.116            2000            1150               1               0;
    91    1.128            2000            1150               1               0;
    92    1.140            2000            1150               1               0;
    93    1.153            2000            1150               1               0;
    94    1.165            2000            1150               1               0;
    95    1.178            2000            1150               1               0;
    96    1.190            2000            1150               1               0;
    97    1.202            2000            1150               1               0;
    98    1.215            2000            1150               1               0;
    99    1.227            2000            1150               1               0;
   100    1.240            2000            1150               1               0;
   101    1.252            2000            1150               1               0;
   102    1.264            2000            1150               1               0;
   103    1.277            2000            1150               1               0;
   104    1.289            2000            1150               1               0;
   105    1.302            2000            1150               1               0;
   106    1.314            2000            1150               1               0;
