 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Encoder 3 Pos 

[    0    0.000            2000               0               0               0;
     1    0.012            2000              32               0               1;
     2    0.025            2000             190               0               0;
     3    0.037            2000             467               0               0;
     4    0.050            2000             840               0               0;
     5    0.062            2000            1269               2               0;
     6    0.074            2000            1723               2               0;
     7    0.087            2000            2152               2               0;
     8    0.099            2000            2510               3               0;
     9    0.112            2000            2757               3               0;
    10    0.124            2000            2871               3               0;
    11    0.136            2000            2848               3               0;
    12    0.149            2000            2701               3               0;
    13    0.161            2000            2451               3               0;
    14    0.174            2000            2123               3               0;
    15    0.186            2000            1743               3               0;
    16    0.198            2000            1347               3               0;
    17    0.211            2000             970               3               0;
    18    0.223            2000             651               2               0;
    19    0.236            2000             422               2               0;
    20    0.248            2000             298               2               0;
    21    0.260            2000             285               2               0;
    22    0.273            2000             391               2               0;
    23    0.285            2000             602               2               0;
    24    0.298            2000             897               2               0;
    25    0.310            2000            1241               2               0;
    26    0.322            2000            1611               2               0;
    27    0.335            2000            1965               3               0;
    28    0.347            2000            2268               3               0;
    29    0.359            2000            2488               3               0;
    30    0.372            2000            2607               3               0;
    31    0.384            2000            2616               3               0;
    32    0.397            2000            2521               3               0;
    33    0.409            2000            2342               3               0;
    34    0.421            2000            2098               3               1;
    35    0.434            2000            1809               3               1;
    36    0.446            2000            1498               3               0;
    37    0.459            2000            1192               3               0;
    38    0.471            2000             922               2               0;
    39    0.483            2000             709               2               0;
    40    0.496            2000             580               2               0;
    41    0.508            2000             544               2               0;
    42    0.521            2000             596               2               0;
    43    0.533            2000             736               2               0;
    44    0.545            2000             944               2               0;
    45    0.558            2000            1200               2               0;
    46    0.570            2000            1484               2               0;
    47    0.583            2000            1766               2               0;
    48    0.595            2000            2016               3               0;
    49    0.607            2000            2207               3               0;
    50    0.620            2000            2319               3               0;
    51    0.632            2000            2344               3               0;
    52    0.645            2000            2288               3               0;
    53    0.657            2000            2162               3               0;
    54    0.669            2000            1981               3               0;
    55    0.682            2000            1765               3               0;
    56    0.694            2000            1530               3               0;
    57    0.707            2000            1298               3               0;
    58    0.719            2000            1091               3               0;
    59    0.731            2000             930               2               0;
    60    0.744            2000             827               2               0;
    61    0.756            2000             797               2               0;
    62    0.769            2000             836               2               0;
    63    0.781            2000             939               2               0;
    64    0.793            2000            1092               2               0;
    65    0.806            2000            1281               2               0;
    66    0.818            2000            1489               2               0;
    67    0.831            2000            1694               3               0;
    68    0.843            2000            1875               3               0;
    69    0.855            2000            2011               3               0;
    70    0.868            2000            2087               3               0;
    71    0.880            2000            2100               3               0;
    72    0.893            2000            2054               3               0;
    73    0.905            2000            1958               3               0;
    74    0.917            2000            1825               3               0;
    75    0.930            2000            1667               3               0;
    76    0.942            2000            1499               3               0;
    77    0.954            2000            1338               3               0;
    78    0.967            2000            1195               3               0;
    79    0.979            2000            1089               3               0;
    80    0.992            2000            1028               3               0;
    81    1.004            2000            1019               2               0;
    82    1.016            2000            1054               2               0;
    83    1.029            2000            1135               2               0;
    84    1.041            2000            1250               2               0;
    85    1.054            2000            1386               2               0;
    86    1.066            2000            1527               2               0;
    87    1.078            2000            1660               3               0;
    88    1.091            2000            1773               3               0;
    89    1.103            2000            1850               3               0;
    90    1.116            2000            1884               3               0;
    91    1.128            2000            1876               3               0;
    92    1.140            2000            1830               3               0;
    93    1.153            2000            1757               3               0;
    94    1.165            2000            1661               3               0;
    95    1.178            2000            1555               3               0;
    96    1.190            2000            1449               3               0;
    97    1.202            2000            1354               3               0;
    98    1.215            2000            1277               3               0;
    99    1.227            2000            1228               3               0;
   100    1.240            2000            1214               3               0;
   101    1.252            2000            1226               3               0;
   102    1.264            2000            1269               3               0;
   103    1.277            2000            1332               3               0;
   104    1.289            2000            1407               3               0;
   105    1.302            2000            1484               3               0;
   106    1.314            2000            1557               3               0;
